time;value
0;0
0.001;0.0309016994374947
0.002;0.0587785252292473
0.003;0.0809016994374948
0.004;0.0951056516295153
0.005;0.1
0.006;0.0951056516295153
0.007;0.0809016994374948
0.008;0.0587785252292473
0.009;0.0309016994374947
0.01;1.22464679914735E-17
0.011;-0.0309016994374947
0.012;-0.0587785252292473
0.013;-0.0809016994374948
0.014;-0.0951056516295153
0.015;-0.1
0.016;-0.0951056516295154
0.017;-0.0809016994374947
0.018;-0.0587785252292473
0.019;-0.0309016994374948
0.02;-2.44929359829471E-17
0.021;0.0309016994374948
0.022;0.0587785252292473
0.023;0.0809016994374947
0.024;0.0951056516295154
0.025;0.1
0.026;0.0951056516295153
0.027;0.0809016994374948
0.028;0.0587785252292473
0.029;0.0309016994374948
0.03;3.67394039744206E-17
0.031;-0.0309016994374947
0.032;-0.0587785252292473
0.033;-0.0809016994374948
0.034;-0.0951056516295154
0.035;-0.1
0.036;-0.0951056516295153
0.037;-0.0809016994374948
0.038;-0.0587785252292473
0.039;-0.0309016994374948
0.04;-4.89858719658941E-17
0.041;0.0309016994374949
0.042;0.0587785252292474
0.043;0.0809016994374948
0.044;0.0951056516295153
0.045;0.1
0.046;0.0951056516295154
0.047;0.0809016994374948
0.048;0.0587785252292472
0.049;0.0309016994374946
0.05;-1.16403343982657E-16
